Date,transaction_statement,Credit,Debit,Balance,user_id,table_id,sl_no
2025-07-05,Mobile Recharge,0.0,13582.09,601346.56,2,51,44
2025-02-03,Online Shopping,0.0,11230.51,133412.81,2,51,45
2025-03-19,Restaurant Bill,1739.41,0.0,187169.13,2,51,46
2025-01-01,Grocery Purchase,1112.76,0.0,51112.76,2,51,47
2025-01-12,Salary Credit,9294.99,0.0,113488.42,2,51,48
2025-02-20,Medical Expense,18317.45,0.0,889216.73,2,51,49
2025-01-23,Electricity Bill,15423.71,0.0,114831.13,2,51,50
2025-03-14,IMPS Payment,0.0,12028.83,178060.94,2,51,51
2025-07-02,Online Shopping,2073.61,0.0,617546.12,2,51,52
2025-05-12,Travel Booking,0.0,3414.26,503430.53,2,51,53
2025-02-15,Electricity Bill,7001.5,0.0,882024.37,2,51,54
2025-07-13,Travel Booking,0.0,10890.3,580352.25,2,51,55
2025-02-25,Travel Booking,6993.89,0.0,167453.25,2,51,56
2025-05-29,Salary Credit,0.0,10036.7,519776.59,2,51,57
2025-01-19,Online Shopping,21728.85,0.0,91867.49,2,51,58
2025-07-24,Cash Deposit,16428.53,0.0,665011.96,2,51,59
2025-03-20,Medical Expense,24240.41,0.0,211409.54,2,51,60
2025-08-25,Unexpected Large Credit,326325.07,0.0,1675131.44,2,51,61
2025-09-20,Online Shopping,14172.79,0.0,749871.58,2,51,62
2025-11-20,Loan EMI,0.0,750.34,846119.54,2,51,63
2025-11-27,High Value Crypto Purchase,0.0,341761.31,-235636.96,2,51,64
2025-03-21,Fuel Payment,4574.62,0.0,215984.16,2,51,65
2025-02-09,Travel Booking,0.0,14569.07,98174.82,2,51,66
2025-03-28,Grocery Purchase,0.0,2445.4,985934.45,2,51,67
2025-02-16,Restaurant Bill,0.0,12640.87,97048.23,2,51,68
2025-08-27,ATM Withdrawal,0.0,6777.8,711467.47,2,51,69
2025-01-27,Mobile Recharge,20925.48,0.0,771528.71,2,51,70
2025-12-19,Online Shopping,0.0,9620.19,788402.45,2,51,71
2025-12-08,ATM Withdrawal,0.0,13561.02,823851.57,2,51,72
2025-10-05,Medical Expense,16367.05,0.0,819189.45,2,51,73
2025-10-18,Fuel Payment,0.0,9558.29,811872.85,2,51,74
2025-11-14,Mobile Recharge,0.0,12578.39,851040.34,2,51,75
2025-11-01,UPI Transfer,0.0,1909.25,789662.99,2,51,76
2025-09-26,IMPS Payment,6983.83,0.0,797224.93,2,51,77
2025-03-11,Online Shopping,0.0,5379.03,201075.93,2,51,78
2025-04-01,UPI Transfer,7166.52,0.0,1022551.68,2,51,79
2025-04-11,Online Shopping,12685.94,0.0,1036009.36,2,51,80
2025-06-04,Online Shopping,0.0,4375.01,507237.07,2,51,81
2025-03-24,Cash Deposit,0.0,4051.53,213181.41,2,51,82
2025-04-23,Online Shopping,0.0,7907.04,1079824.33,2,51,83
2025-06-22,Loan EMI,0.0,9228.52,637231.51,2,51,84
2025-11-18,Insurance Premium,24528.98,0.0,850449.96,2,51,85
2025-04-01,Insurance Premium,17042.71,0.0,304590.01,2,51,86
2025-06-30,Insurance Premium,3890.16,0.0,625912.36,2,51,87
2025-02-19,Mobile Recharge,0.0,7607.2,870899.28,2,51,88
2025-11-09,Electricity Bill,11691.27,0.0,862380.49,2,51,89
2025-10-06,IMPS Payment,0.0,12416.8,806772.65,2,51,90
2025-01-17,Medical Expense,0.0,472.87,741759.44,2,51,91
2025-04-18,Online Shopping,0.0,4413.78,1071008.56,2,51,92
2025-12-29,Insurance Premium,0.0,3363.17,786788.87,2,51,93
2025-11-21,Cash Deposit,0.0,10607.9,835511.64,2,51,94
2025-03-08,Travel Booking,0.0,1100.29,938926.2,2,51,95
2025-12-14,Electricity Bill,0.0,13701.15,801347.24,2,51,96
2025-03-28,ATM Withdrawal,18825.4,0.0,249483.51,2,51,97
2025-03-17,Travel Booking,0.0,6993.16,174073.02,2,51,98
2025-03-15,Mobile Recharge,24225.77,0.0,932374.62,2,51,99
2025-01-16,Loan EMI,0.0,8702.55,83295.74,2,51,100
2025-09-07,Travel Booking,0.0,14709.61,726711.4,2,51,101
2025-03-10,Restaurant Bill,0.0,12195.36,929514.98,2,51,102
2025-01-20,Travel Booking,0.0,6855.81,85011.68,2,51,103
2025-11-19,Cash Deposit,0.0,3580.08,846869.88,2,51,104
2025-11-29,Grocery Purchase,12002.52,0.0,839053.46,2,51,105
2025-02-26,Medical Expense,0.0,14469.01,152984.24,2,51,106
2025-10-29,Insurance Premium,0.0,11423.86,806483.54,2,51,107
2025-08-18,Mobile Recharge,18886.67,0.0,747115.11,2,51,108
2025-11-28,Electricity Bill,0.0,13076.9,827050.94,2,51,109
2025-05-13,Travel Booking,0.0,5309.91,498120.62,2,51,110
2025-05-18,IMPS Payment,0.0,14094.63,514780.74,2,51,111
2025-02-28,Mobile Recharge,0.0,6860.36,902096.43,2,51,112
2025-12-02,UPI Transfer,0.0,14316.68,836718.46,2,51,113
2025-01-26,Travel Booking,17273.05,0.0,121763.64,2,51,114
2025-04-10,IMPS Payment,0.0,4412.76,1023323.42,2,51,115
2025-10-09,Grocery Purchase,0.0,10526.03,794168.34,2,51,116
2025-09-05,Loan EMI,5192.75,0.0,745640.85,2,51,117
2025-08-26,UPI Transfer,17419.93,0.0,718245.27,2,51,118
2025-04-28,Travel Booking,13866.96,0.0,413270.09,2,51,119
2025-02-12,Electricity Bill,7690.75,0.0,111480.39,2,51,120
2025-08-09,UPI Transfer,0.0,1127.46,736222.72,2,51,121
2025-06-26,Grocery Purchase,21076.64,0.0,625558.23,2,51,122
2025-11-17,Salary Credit,0.0,6884.63,825920.98,2,51,123
2025-06-03,ATM Withdrawal,0.0,8264.26,511612.08,2,51,124
2025-08-20,Insurance Premium,0.0,2809.41,739193.39,2,51,125
2025-08-16,Insurance Premium,0.0,4902.34,720894.7,2,51,126
2025-02-22,Travel Booking,24965.38,0.0,907257.28,2,51,127
2025-07-23,Salary Credit,24997.74,0.0,648583.43,2,51,128
2025-05-07,ATM Withdrawal,22094.7,0.0,483443.25,2,51,129
2025-11-26,Medical Expense,0.0,1585.7,840456.52,2,51,130
2025-02-01,Electricity Bill,0.0,2228.79,125891.09,2,51,131
2025-04-24,Grocery Purchase,16109.28,0.0,365546.73,2,51,132
2025-04-16,Mobile Recharge,21621.7,0.0,1084066.0,2,51,133
2025-09-29,Fuel Payment,0.0,10371.63,797565.05,2,51,134
2025-05-21,Salary Credit,0.0,10955.32,504220.62,2,51,135
2025-02-27,Online Shopping,17967.25,0.0,170951.49,2,51,136
2025-07-12,Cash Deposit,0.0,10066.22,591242.55,2,51,137
2025-01-25,UPI Transfer,0.0,14843.9,104490.59,2,51,138
2025-01-18,Travel Booking,0.0,14779.8,70138.64,2,51,139
2025-09-23,Mobile Recharge,0.0,4650.17,751089.18,2,51,140
2025-03-08,Medical Expense,18222.14,0.0,213112.73,2,51,141
2025-07-28,Insurance Premium,14317.25,0.0,725713.38,2,51,142
2025-04-25,IMPS Payment,0.0,11708.86,1056902.98,2,51,143
2025-04-05,Insurance Premium,0.0,14027.12,314131.11,2,51,144
2025-09-11,Electricity Bill,0.0,10491.52,739104.11,2,51,145
2025-09-24,Loan EMI,15435.96,0.0,766525.14,2,51,146
2025-01-24,Online Shopping,4503.36,0.0,119334.49,2,51,147
2025-08-11,Salary Credit,0.0,1672.53,734261.67,2,51,148
2025-09-19,Insurance Premium,0.0,1369.2,735698.79,2,51,149
2025-03-03,Medical Expense,11036.71,0.0,932948.8,2,51,150
2025-01-06,Loan EMI,14250.5,0.0,106173.66,2,51,151
2025-04-27,Loan EMI,23653.75,0.0,399403.13,2,51,152
2025-02-15,IMPS Payment,12938.2,0.0,109689.1,2,51,153
2025-01-17,Insurance Premium,1622.7,0.0,84918.44,2,51,154
2025-04-08,Grocery Purchase,688.33,0.0,1008436.12,2,51,155
2025-12-24,Travel Booking,0.0,426.9,795699.52,2,51,156
2025-01-04,ATM Withdrawal,14967.07,0.0,89127.63,2,51,157
2025-08-07,Mobile Recharge,20007.57,0.0,728343.69,2,51,158
2025-02-10,Electricity Bill,7293.23,0.0,839438.31,2,51,159
2025-03-02,Mobile Recharge,8783.1,0.0,171203.94,2,51,160
2025-04-21,Grocery Purchase,0.0,7630.59,347433.03,2,51,161
2025-11-15,Fuel Payment,0.0,12992.38,838047.96,2,51,162
2025-03-05,Loan EMI,0.0,6041.08,937546.15,2,51,163
2025-01-30,Fuel Payment,0.0,3268.14,141401.66,2,51,164
2025-03-14,Loan EMI,0.0,13034.57,908148.85,2,51,165
2025-04-17,Loan EMI,0.0,8643.66,1075422.34,2,51,166
2025-01-27,ATM Withdrawal,6111.68,0.0,127875.32,2,51,167
2025-01-08,ATM Withdrawal,0.0,12160.51,90628.58,2,51,168
2025-03-30,Electricity Bill,22141.88,0.0,996401.48,2,51,169
2025-04-19,Insurance Premium,0.0,4298.17,358197.22,2,51,170
2025-02-07,Online Shopping,0.0,8986.49,121722.63,2,51,171
2025-06-07,Grocery Purchase,16641.84,0.0,529874.35,2,51,172
2025-11-16,Unexpected Large Credit,904972.81,0.0,-322984.21,2,51,173
2025-04-29,Electricity Bill,0.0,8779.39,404490.7,2,51,174
2025-04-25,Restaurant Bill,18660.16,0.0,384206.89,2,51,175
2025-06-25,Cash Deposit,0.0,6806.04,604481.59,2,51,176
2025-01-09,Fuel Payment,0.0,12083.06,763378.59,2,51,177
2025-07-01,Loan EMI,0.0,10439.85,615472.51,2,51,178
2025-05-25,Medical Expense,0.0,125.2,511640.9,2,51,179
2025-01-05,Restaurant Bill,3737.92,0.0,810459.41,2,51,180
2025-01-26,UPI Transfer,22192.64,0.0,750603.23,2,51,181
2025-07-15,Mobile Recharge,22719.76,0.0,589270.84,2,51,182
2025-02-09,Electricity Bill,8549.71,0.0,832145.08,2,51,183
2025-10-03,UPI Transfer,0.0,11838.64,791906.5,2,51,184
2025-03-31,ATM Withdrawal,18983.68,0.0,1015385.16,2,51,185
2025-05-22,Restaurant Bill,0.0,9132.51,495088.11,2,51,186
2025-01-01,Fuel Payment,8068.86,0.0,800551.12,2,51,187
2025-03-09,Fuel Payment,0.0,3720.66,209392.07,2,51,188
2025-07-30,Mobile Recharge,0.0,2600.06,712591.29,2,51,189
2025-06-18,Insurance Premium,0.0,848.25,659079.22,2,51,190
2025-06-30,Duplicate ATM Withdrawal,0.0,57419.07,1348806.37,2,51,191
2025-01-11,Cash Deposit,0.0,14512.32,752814.82,2,51,192
2025-02-05,Salary Credit,1739.17,0.0,781821.92,2,51,193
2025-09-30,Grocery Purchase,0.0,586.33,796978.72,2,51,194
2025-04-20,UPI Transfer,0.0,3133.6,355063.62,2,51,195
2025-09-06,Mobile Recharge,0.0,4219.84,741421.01,2,51,196
2025-05-26,IMPS Payment,9423.43,0.0,521064.33,2,51,197
2025-04-03,ATM Withdrawal,14683.52,0.0,317387.22,2,51,198
2025-06-02,Grocery Purchase,15580.12,0.0,519876.34,2,51,199
2025-01-03,Grocery Purchase,2708.27,0.0,817958.95,2,51,200
2025-04-13,Travel Booking,12756.43,0.0,1052430.84,2,51,201
2025-03-25,Loan EMI,0.0,4350.21,208831.2,2,51,202
2025-09-03,Salary Credit,18171.47,0.0,721747.51,2,51,203
2025-06-15,Travel Booking,22370.17,0.0,620155.48,2,51,204
2025-06-13,Online Shopping,18099.47,0.0,603840.14,2,51,205
2025-07-19,Salary Credit,11640.13,0.0,632079.37,2,51,206
2025-08-17,Fuel Payment,7333.74,0.0,728228.44,2,51,207
2025-03-16,Electricity Bill,0.0,2188.72,181066.18,2,51,208
2025-04-24,Insurance Premium,0.0,11212.49,1068611.84,2,51,209
2025-12-25,Mobile Recharge,0.0,4189.76,791509.76,2,51,210
2025-09-08,Salary Credit,7758.04,0.0,734469.44,2,51,211
2025-04-30,Grocery Purchase,0.0,1998.94,402491.76,2,51,212
2025-11-07,Grocery Purchase,0.0,7682.19,863226.61,2,51,213
2025-10-27,Insurance Premium,0.0,6257.39,827284.64,2,51,214
2025-09-13,Fuel Payment,0.0,7094.01,730381.54,2,51,215
2025-12-21,Travel Booking,24984.65,0.0,806480.25,2,51,216
2025-02-04,Insurance Premium,0.0,1465.93,780082.75,2,51,217
2025-08-14,Medical Expense,0.0,9277.09,732823.66,2,51,218
2025-12-20,Grocery Purchase,0.0,6906.85,781495.6,2,51,219
2025-08-23,Restaurant Bill,0.0,8381.29,705607.63,2,51,220
2025-01-18,Insurance Premium,0.0,13737.31,728022.13,2,51,221
2025-10-02,Medical Expense,17340.93,0.0,803745.14,2,51,222
2025-02-06,Electricity Bill,4244.61,0.0,130709.12,2,51,223
2025-07-16,Online Shopping,2556.71,0.0,591827.55,2,51,224
2025-05-20,Online Shopping,3155.86,0.0,515175.94,2,51,225
2025-12-31,Medical Expense,15892.08,0.0,792482.26,2,51,226
2025-09-02,Insurance Premium,0.0,4668.68,703576.04,2,51,227
2025-03-16,Mobile Recharge,0.0,5339.53,927035.09,2,51,228
2025-10-14,UPI Transfer,24989.52,0.0,831839.43,2,51,229
2025-03-01,Insurance Premium,0.0,1902.96,162420.84,2,51,230
2025-04-22,Online Shopping,2761.31,0.0,350194.34,2,51,231
2025-03-31,IMPS Payment,21357.89,0.0,287547.3,2,51,232
2025-03-13,Cash Deposit,0.0,13116.75,921183.42,2,51,233
2025-01-07,Mobile Recharge,0.0,3384.57,102789.09,2,51,234
2025-12-27,Medical Expense,0.0,12509.3,801810.58,2,51,235
2025-12-13,Insurance Premium,0.0,9333.68,815048.39,2,51,236
2025-12-05,Loan EMI,0.0,14961.65,814910.17,2,51,237
2025-06-08,Cash Deposit,0.0,1491.47,528382.88,2,51,238
2025-05-31,UPI Transfer,5200.08,0.0,514488.26,2,51,239
2025-06-27,Grocery Purchase,0.0,9438.55,616119.68,2,51,240
2025-01-29,Insurance Premium,17411.88,0.0,774848.7,2,51,241
2025-07-04,Online Shopping,5567.44,0.0,614928.65,2,51,242
2025-03-26,Restaurant Bill,2748.06,0.0,978663.09,2,51,243
2025-01-11,Online Shopping,0.0,1622.93,104193.43,2,51,244
2025-01-16,Insurance Premium,0.0,1714.36,742232.31,2,51,245
2025-04-14,Cash Deposit,0.0,9214.0,333947.27,2,51,246
2025-03-23,ATM Withdrawal,4533.61,0.0,217232.94,2,51,247
2025-02-08,Fuel Payment,0.0,8978.74,112743.89,2,51,248
2025-11-11,Grocery Purchase,21668.66,0.0,881109.06,2,51,249
2025-06-17,Loan EMI,20200.69,0.0,659927.47,2,51,250
2025-04-15,Fuel Payment,11187.38,0.0,1062444.3,2,51,251
2025-10-24,Cash Deposit,0.0,4916.78,829916.52,2,51,252
2025-04-20,Medical Expense,0.0,12497.19,1082683.26,2,51,253
2025-07-18,Salary Credit,6873.83,0.0,620439.24,2,51,254
2025-10-25,Travel Booking,0.0,12987.17,816929.35,2,51,255
2025-02-21,ATM Withdrawal,0.0,6924.83,882291.9,2,51,256
2025-05-27,UPI Transfer,0.0,9385.02,511679.31,2,51,257
2025-01-28,Grocery Purchase,0.0,14091.89,757436.82,2,51,258
2025-05-28,Grocery Purchase,18133.98,0.0,529813.29,2,51,259
2025-03-24,Electricity Bill,4944.44,0.0,977051.85,2,51,260
2025-10-15,Cash Deposit,0.0,8686.08,823153.35,2,51,261
2025-05-04,Loan EMI,0.0,14610.17,413750.29,2,51,262
2025-01-04,Electricity Bill,0.0,11237.46,806721.49,2,51,263
2025-04-07,Grocery Purchase,16956.41,0.0,327431.1,2,51,264
2025-05-24,Loan EMI,6740.7,0.0,511766.1,2,51,265
2025-08-28,Online Shopping,7708.77,0.0,719176.24,2,51,266
2025-03-19,Grocery Purchase,0.0,1811.79,950772.42,2,51,267
2025-04-08,Cash Deposit,0.0,4811.04,322620.06,2,51,268
2025-02-12,Travel Booking,3193.2,0.0,856366.79,2,51,269
2025-05-03,Salary Credit,16839.87,0.0,428360.46,2,51,270
2025-07-03,Online Shopping,0.0,8184.91,609361.21,2,51,271
2025-07-22,Restaurant Bill,0.0,388.81,623585.69,2,51,272
2025-09-04,Cash Deposit,18700.59,0.0,740448.1,2,51,273
2025-11-02,Grocery Purchase,17889.68,0.0,807552.67,2,51,274
2025-10-26,Restaurant Bill,16612.68,0.0,833542.03,2,51,275
2025-12-18,Salary Credit,2309.62,0.0,798022.64,2,51,276
2025-01-22,IMPS Payment,0.0,14939.32,720987.54,2,51,277
2025-01-31,UPI Transfer,0.0,1580.38,766542.35,2,51,278
2025-10-12,ATM Withdrawal,0.0,9095.33,800741.26,2,51,279
2025-05-06,Cash Deposit,24417.05,0.0,461348.55,2,51,280
2025-10-30,Medical Expense,0.0,8283.37,798200.17,2,51,281
2025-08-12,Online Shopping,0.0,10638.9,723622.77,2,51,282
2025-02-23,IMPS Payment,0.0,6451.48,900805.8,2,51,283
2025-08-08,Online Shopping,9006.49,0.0,737350.18,2,51,284
2025-05-10,Cash Deposit,7036.74,0.0,496972.52,2,51,285
2025-02-25,Salary Credit,22532.04,0.0,912623.06,2,51,286
2025-10-17,Electricity Bill,0.0,13749.48,821431.14,2,51,287
2025-03-21,UPI Transfer,15420.38,0.0,986469.72,2,51,288
2025-01-12,Online Shopping,0.0,1445.51,751369.31,2,51,289
2025-10-19,Online Shopping,12015.25,0.0,823888.1,2,51,290
2025-12-22,Online Shopping,0.0,1689.13,804791.12,2,51,291
2025-10-22,Online Shopping,0.0,4394.45,823190.07,2,51,292
2025-02-01,UPI Transfer,0.0,8212.54,758329.81,2,51,293
2025-12-07,Loan EMI,11370.12,0.0,837412.59,2,51,294
2025-04-23,Salary Credit,0.0,756.89,349437.45,2,51,295
2025-06-29,Salary Credit,7157.02,0.0,622022.2,2,51,296
2025-11-04,Medical Expense,24810.3,0.0,846393.13,2,51,297
2025-03-09,IMPS Payment,2784.14,0.0,941710.34,2,51,298
2025-08-18,Duplicate ATM Withdrawal,0.0,142415.43,-1114427.19,2,51,299
2025-09-19,Duplicate Withdrawal,0.0,743553.64,251946.68,2,51,300
2025-02-27,Mobile Recharge,0.0,5775.48,908956.79,2,51,301
2025-08-22,Loan EMI,0.0,13216.77,713988.92,2,51,302
2025-11-08,Fuel Payment,0.0,12537.39,850689.22,2,51,303
2025-06-14,Electricity Bill,0.0,6054.83,597785.31,2,51,304
2025-05-17,Online Shopping,0.0,9658.08,528875.37,2,51,305
2025-07-17,Electricity Bill,21737.86,0.0,613565.41,2,51,306
2025-09-16,Online Shopping,20641.83,0.0,734054.5,2,51,307
2025-08-21,Salary Credit,0.0,11987.7,727205.69,2,51,308
2025-04-26,IMPS Payment,0.0,8457.51,375749.38,2,51,309
2025-05-01,Cash Deposit,0.0,13494.82,388996.94,2,51,310
2025-12-16,ATM Withdrawal,0.0,3904.37,809241.04,2,51,311
2025-08-13,UPI Transfer,18477.98,0.0,742100.75,2,51,312
2025-02-07,Cash Deposit,2180.95,0.0,808728.98,2,51,313
2025-02-02,Grocery Purchase,0.0,1002.2,757327.61,2,51,314
2025-05-08,Salary Credit,18545.83,0.0,501989.08,2,51,315
2025-10-13,UPI Transfer,6108.65,0.0,806849.91,2,51,316
2025-02-16,Loan EMI,0.0,7938.67,874085.7,2,51,317
2025-04-18,Electricity Bill,18689.21,0.0,362495.39,2,51,318
2025-01-06,Medical Expense,0.0,8009.7,802449.71,2,51,319
2025-11-22,UPI Transfer,0.0,5852.57,829659.07,2,51,320
2025-05-14,UPI Transfer,5961.63,0.0,504082.25,2,51,321
2025-03-29,Mobile Recharge,0.0,11674.85,974259.6,2,51,322
2025-02-14,Cash Deposit,0.0,14581.13,96750.9,2,51,323
2025-04-06,Grocery Purchase,0.0,7951.32,1001845.09,2,51,324
2025-03-07,Insurance Premium,0.0,10067.77,194890.59,2,51,325
2025-10-11,Loan EMI,22290.86,0.0,809836.59,2,51,326
2025-03-27,Mobile Recharge,24233.38,0.0,230658.11,2,51,327
2025-08-31,Loan EMI,0.0,6440.01,713586.7,2,51,328
2025-07-06,Cash Deposit,21489.93,0.0,622836.49,2,51,329
2025-01-19,Fuel Payment,16067.4,0.0,744089.53,2,51,330
2025-06-09,Insurance Premium,16983.49,0.0,545366.37,2,51,331
2025-01-13,Loan EMI,0.0,12126.21,101362.21,2,51,332
2025-02-05,ATM Withdrawal,0.0,1454.55,126464.51,2,51,333
2025-01-29,Mobile Recharge,22871.84,0.0,144669.8,2,51,334
2025-06-20,Restaurant Bill,0.0,10046.91,660715.62,2,51,335
2025-05-23,Mobile Recharge,9937.29,0.0,505025.4,2,51,336
2025-02-03,Travel Booking,24221.07,0.0,781548.68,2,51,337
2025-12-09,Grocery Purchase,0.0,11962.54,811889.03,2,51,338
2025-08-10,Online Shopping,0.0,288.52,735934.2,2,51,339
2025-04-06,Online Shopping,0.0,3656.42,310474.69,2,51,340
2025-02-21,Insurance Premium,0.0,3667.84,129754.64,2,51,341
2025-08-29,Mobile Recharge,8002.05,0.0,727178.29,2,51,342
2025-05-12,High Value Crypto Purchase,0.0,304099.41,-539736.37,2,51,343
2025-01-14,Loan EMI,0.0,5591.93,752756.62,2,51,344
2025-06-28,Grocery Purchase,0.0,1254.5,614865.18,2,51,345
2025-02-11,Salary Credit,0.0,11552.12,103789.64,2,51,346
2025-01-22,Unexpected Large Credit,936334.97,0.0,3562000.72,2,51,347
2025-02-26,Grocery Purchase,2109.21,0.0,914732.27,2,51,348
2025-07-26,Mobile Recharge,21061.11,0.0,705051.78,2,51,349
2025-10-10,Mobile Recharge,0.0,6622.61,787545.73,2,51,350
2025-09-12,ATM Withdrawal,0.0,1628.56,737475.55,2,51,351
2025-02-17,Cash Deposit,12168.03,0.0,886253.73,2,51,352
2025-01-05,Insurance Premium,2795.53,0.0,91923.16,2,51,353
2025-09-14,ATM Withdrawal,0.0,2847.02,727534.52,2,51,354
2025-03-25,Loan EMI,0.0,1136.82,975915.03,2,51,355
2025-04-11,Salary Credit,0.0,2073.6,323569.58,2,51,356
2025-08-15,Travel Booking,0.0,7026.62,725797.04,2,51,357
2025-03-06,Salary Credit,8157.43,0.0,945703.58,2,51,358
2025-08-02,Medical Expense,0.0,8679.37,721757.15,2,51,359
2025-06-21,Medical Expense,0.0,14255.59,646460.03,2,51,360
2025-04-09,Mobile Recharge,728.23,0.0,323348.29,2,51,361
2025-10-20,IMPS Payment,0.0,4883.77,819004.33,2,51,362
2025-08-04,Loan EMI,2361.91,0.0,718108.91,2,51,363
2025-03-03,ATM Withdrawal,14916.78,0.0,186120.72,2,51,364
2025-02-17,Cash Deposit,4244.56,0.0,101292.79,2,51,365
2025-02-02,Restaurant Bill,18752.23,0.0,144643.32,2,51,366
2025-09-25,Insurance Premium,23715.96,0.0,790241.1,2,51,367
2025-11-24,Mobile Recharge,12806.13,0.0,855100.75,2,51,368
2025-07-20,Travel Booking,0.0,4246.02,627833.35,2,51,369
2025-03-23,Salary Credit,0.0,13830.91,972107.41,2,51,370
2025-01-28,IMPS Payment,0.0,6077.36,121797.96,2,51,371
2025-03-01,Loan EMI,0.0,1577.76,900518.67,2,51,372
2025-08-19,Fuel Payment,0.0,5112.31,742002.8,2,51,373
2025-09-18,Cash Deposit,4217.31,0.0,737067.99,2,51,374
2025-10-16,UPI Transfer,12027.27,0.0,835180.62,2,51,375
2025-06-12,Medical Expense,11657.7,0.0,585740.67,2,51,376
2025-03-02,UPI Transfer,21393.42,0.0,921912.09,2,51,377
2025-05-19,Grocery Purchase,0.0,2760.66,512020.08,2,51,378
2025-03-04,ATM Withdrawal,17842.1,0.0,203962.82,2,51,379
2025-05-16,Grocery Purchase,24188.78,0.0,538533.45,2,51,380
2025-05-09,Travel Booking,0.0,12053.3,489935.78,2,51,381
2025-04-22,Mobile Recharge,6461.25,0.0,1087731.37,2,51,382
2025-01-09,Salary Credit,17604.42,0.0,108233.0,2,51,383
2025-11-23,ATM Withdrawal,12635.55,0.0,842294.62,2,51,384
2025-04-09,Cash Deposit,19300.06,0.0,1027736.18,2,51,385
2025-03-06,Insurance Premium,0.0,1155.77,204958.36,2,51,386
2025-10-28,Fuel Payment,0.0,9377.24,817907.4,2,51,387
2025-01-15,Grocery Purchase,0.0,1274.12,91998.29,2,51,388
2025-06-06,Cash Deposit,13023.76,0.0,513232.51,2,51,389
2025-02-10,IMPS Payment,17166.94,0.0,115341.76,2,51,390
2025-01-15,Travel Booking,0.0,8809.95,743946.67,2,51,391
2025-04-14,Travel Booking,0.0,1173.92,1051256.92,2,51,392
2025-02-08,Travel Booking,14866.39,0.0,823595.37,2,51,393
2025-08-05,Cash Deposit,2996.58,0.0,721105.49,2,51,394
2025-10-07,Grocery Purchase,4565.11,0.0,811337.76,2,51,395
2025-03-11,Restaurant Bill,14868.39,0.0,944383.37,2,51,396
