text,category
UPI/mcdonalds/12345,Food
UPI/mcdonlds/12345,Food
IMPS/mcdonalds/98765,Food
IMPS/mcdonlds/98765,Food
mcdonalds LIMITED,Food
mcdonlds LIMITED,Food
mcdonalds PAYMENT,Food
mcdonlds PAYMENT,Food
UPI PAYMENT mcdonalds,Food
UPI PAYMENT mcdonlds,Food
mcdonalds INDIA,Food
mcdonlds INDIA,Food
TRANSFER mcdonalds,Food
TRANSFER mcdonlds,Food
mcdonalds,Food
mcdonlds,Food
UPI/starbucks/12345,Food
UPI/strbucks/12345,Food
IMPS/starbucks/98765,Food
IMPS/strbucks/98765,Food
starbucks LIMITED,Food
strbucks LIMITED,Food
starbucks PAYMENT,Food
strbucks PAYMENT,Food
UPI PAYMENT starbucks,Food
UPI PAYMENT strbucks,Food
starbucks INDIA,Food
strbucks INDIA,Food
TRANSFER starbucks,Food
TRANSFER strbucks,Food
starbucks,Food
strbucks,Food
UPI/chaayos/12345,Food
UPI/chayos/12345,Food
IMPS/chaayos/98765,Food
IMPS/chayos/98765,Food
chaayos LIMITED,Food
chayos LIMITED,Food
chaayos PAYMENT,Food
chayos PAYMENT,Food
UPI PAYMENT chaayos,Food
UPI PAYMENT chayos,Food
chaayos INDIA,Food
chayos INDIA,Food
TRANSFER chaayos,Food
TRANSFER chayos,Food
chaayos,Food
chayos,Food
UPI/haldirams/12345,Food
UPI/hldirams/12345,Food
IMPS/haldirams/98765,Food
IMPS/hldirams/98765,Food
haldirams LIMITED,Food
hldirams LIMITED,Food
haldirams PAYMENT,Food
hldirams PAYMENT,Food
UPI PAYMENT haldirams,Food
UPI PAYMENT hldirams,Food
haldirams INDIA,Food
hldirams INDIA,Food
TRANSFER haldirams,Food
TRANSFER hldirams,Food
haldirams,Food
hldirams,Food
UPI/bigbasket/12345,Food
UPI/bigbsket/12345,Food
IMPS/bigbasket/98765,Food
IMPS/bigbsket/98765,Food
bigbasket LIMITED,Food
bigbsket LIMITED,Food
bigbasket PAYMENT,Food
bigbsket PAYMENT,Food
UPI PAYMENT bigbasket,Food
UPI PAYMENT bigbsket,Food
bigbasket INDIA,Food
bigbsket INDIA,Food
TRANSFER bigbasket,Food
TRANSFER bigbsket,Food
bigbasket,Food
bigbsket,Food
UPI/eatclub/12345,Food
UPI/etclub/12345,Food
IMPS/eatclub/98765,Food
IMPS/etclub/98765,Food
eatclub LIMITED,Food
etclub LIMITED,Food
eatclub PAYMENT,Food
etclub PAYMENT,Food
UPI PAYMENT eatclub,Food
UPI PAYMENT etclub,Food
eatclub INDIA,Food
etclub INDIA,Food
TRANSFER eatclub,Food
TRANSFER etclub,Food
eatclub,Food
etclub,Food
UPI/uber/12345,Travel
UPI/uber/12345,Travel
IMPS/uber/98765,Travel
IMPS/uber/98765,Travel
uber LIMITED,Travel
uber LIMITED,Travel
uber PAYMENT,Travel
uber PAYMENT,Travel
UPI PAYMENT uber,Travel
UPI PAYMENT uber,Travel
uber INDIA,Travel
uber INDIA,Travel
TRANSFER uber,Travel
TRANSFER uber,Travel
uber,Travel
uber,Travel
UPI/ola/12345,Travel
UPI/ol/12345,Travel
IMPS/ola/98765,Travel
IMPS/ol/98765,Travel
ola LIMITED,Travel
ol LIMITED,Travel
ola PAYMENT,Travel
ol PAYMENT,Travel
UPI PAYMENT ola,Travel
UPI PAYMENT ol,Travel
ola INDIA,Travel
ol INDIA,Travel
TRANSFER ola,Travel
TRANSFER ol,Travel
ola,Travel
ol,Travel
UPI/irctc/12345,Travel
UPI/irctc/12345,Travel
IMPS/irctc/98765,Travel
IMPS/irctc/98765,Travel
irctc LIMITED,Travel
irctc LIMITED,Travel
irctc PAYMENT,Travel
irctc PAYMENT,Travel
UPI PAYMENT irctc,Travel
UPI PAYMENT irctc,Travel
irctc INDIA,Travel
irctc INDIA,Travel
TRANSFER irctc,Travel
TRANSFER irctc,Travel
irctc,Travel
irctc,Travel
UPI/indrive/12345,Travel
UPI/indrive/12345,Travel
IMPS/indrive/98765,Travel
IMPS/indrive/98765,Travel
indrive LIMITED,Travel
indrive LIMITED,Travel
indrive PAYMENT,Travel
indrive PAYMENT,Travel
UPI PAYMENT indrive,Travel
UPI PAYMENT indrive,Travel
indrive INDIA,Travel
indrive INDIA,Travel
TRANSFER indrive,Travel
TRANSFER indrive,Travel
indrive,Travel
indrive,Travel
UPI/yatrisathi/12345,Travel
UPI/ytrisathi/12345,Travel
IMPS/yatrisathi/98765,Travel
IMPS/ytrisathi/98765,Travel
yatrisathi LIMITED,Travel
ytrisathi LIMITED,Travel
yatrisathi PAYMENT,Travel
ytrisathi PAYMENT,Travel
UPI PAYMENT yatrisathi,Travel
UPI PAYMENT ytrisathi,Travel
yatrisathi INDIA,Travel
ytrisathi INDIA,Travel
TRANSFER yatrisathi,Travel
TRANSFER ytrisathi,Travel
yatrisathi,Travel
ytrisathi,Travel
UPI/rapido/12345,Travel
UPI/rpido/12345,Travel
IMPS/rapido/98765,Travel
IMPS/rpido/98765,Travel
rapido LIMITED,Travel
rpido LIMITED,Travel
rapido PAYMENT,Travel
rpido PAYMENT,Travel
UPI PAYMENT rapido,Travel
UPI PAYMENT rpido,Travel
rapido INDIA,Travel
rpido INDIA,Travel
TRANSFER rapido,Travel
TRANSFER rpido,Travel
rapido,Travel
rpido,Travel
UPI/airindia/12345,Travel
UPI/irindia/12345,Travel
IMPS/airindia/98765,Travel
IMPS/irindia/98765,Travel
airindia LIMITED,Travel
irindia LIMITED,Travel
airindia PAYMENT,Travel
irindia PAYMENT,Travel
UPI PAYMENT airindia,Travel
UPI PAYMENT irindia,Travel
airindia INDIA,Travel
irindia INDIA,Travel
TRANSFER airindia,Travel
TRANSFER irindia,Travel
airindia,Travel
irindia,Travel
UPI/makemytrip/12345,Travel
UPI/mkemytrip/12345,Travel
IMPS/makemytrip/98765,Travel
IMPS/mkemytrip/98765,Travel
makemytrip LIMITED,Travel
mkemytrip LIMITED,Travel
makemytrip PAYMENT,Travel
mkemytrip PAYMENT,Travel
UPI PAYMENT makemytrip,Travel
UPI PAYMENT mkemytrip,Travel
makemytrip INDIA,Travel
mkemytrip INDIA,Travel
TRANSFER makemytrip,Travel
TRANSFER mkemytrip,Travel
makemytrip,Travel
mkemytrip,Travel
UPI/goibibo/12345,Travel
UPI/goibibo/12345,Travel
IMPS/goibibo/98765,Travel
IMPS/goibibo/98765,Travel
goibibo LIMITED,Travel
goibibo LIMITED,Travel
goibibo PAYMENT,Travel
goibibo PAYMENT,Travel
UPI PAYMENT goibibo,Travel
UPI PAYMENT goibibo,Travel
goibibo INDIA,Travel
goibibo INDIA,Travel
TRANSFER goibibo,Travel
TRANSFER goibibo,Travel
goibibo,Travel
goibibo,Travel
UPI/easemytrip/12345,Travel
UPI/esemytrip/12345,Travel
IMPS/easemytrip/98765,Travel
IMPS/esemytrip/98765,Travel
easemytrip LIMITED,Travel
esemytrip LIMITED,Travel
easemytrip PAYMENT,Travel
esemytrip PAYMENT,Travel
UPI PAYMENT easemytrip,Travel
UPI PAYMENT esemytrip,Travel
easemytrip INDIA,Travel
esemytrip INDIA,Travel
TRANSFER easemytrip,Travel
TRANSFER esemytrip,Travel
easemytrip,Travel
esemytrip,Travel
UPI/redbus/12345,Travel
UPI/redbus/12345,Travel
IMPS/redbus/98765,Travel
IMPS/redbus/98765,Travel
redbus LIMITED,Travel
redbus LIMITED,Travel
redbus PAYMENT,Travel
redbus PAYMENT,Travel
UPI PAYMENT redbus,Travel
UPI PAYMENT redbus,Travel
redbus INDIA,Travel
redbus INDIA,Travel
TRANSFER redbus,Travel
TRANSFER redbus,Travel
redbus,Travel
redbus,Travel
UPI/ixigo/12345,Travel
UPI/ixigo/12345,Travel
IMPS/ixigo/98765,Travel
IMPS/ixigo/98765,Travel
ixigo LIMITED,Travel
ixigo LIMITED,Travel
ixigo PAYMENT,Travel
ixigo PAYMENT,Travel
UPI PAYMENT ixigo,Travel
UPI PAYMENT ixigo,Travel
ixigo INDIA,Travel
ixigo INDIA,Travel
TRANSFER ixigo,Travel
TRANSFER ixigo,Travel
ixigo,Travel
ixigo,Travel
UPI/indigo/12345,Travel
UPI/indigo/12345,Travel
IMPS/indigo/98765,Travel
IMPS/indigo/98765,Travel
indigo LIMITED,Travel
indigo LIMITED,Travel
indigo PAYMENT,Travel
indigo PAYMENT,Travel
UPI PAYMENT indigo,Travel
UPI PAYMENT indigo,Travel
indigo INDIA,Travel
indigo INDIA,Travel
TRANSFER indigo,Travel
TRANSFER indigo,Travel
indigo,Travel
indigo,Travel
UPI/spicejet/12345,Travel
UPI/spicejet/12345,Travel
IMPS/spicejet/98765,Travel
IMPS/spicejet/98765,Travel
spicejet LIMITED,Travel
spicejet LIMITED,Travel
spicejet PAYMENT,Travel
spicejet PAYMENT,Travel
UPI PAYMENT spicejet,Travel
UPI PAYMENT spicejet,Travel
spicejet INDIA,Travel
spicejet INDIA,Travel
TRANSFER spicejet,Travel
TRANSFER spicejet,Travel
spicejet,Travel
spicejet,Travel
UPI/akasa/12345,Travel
UPI/kasa/12345,Travel
IMPS/akasa/98765,Travel
IMPS/kasa/98765,Travel
akasa LIMITED,Travel
kasa LIMITED,Travel
akasa PAYMENT,Travel
kasa PAYMENT,Travel
UPI PAYMENT akasa,Travel
UPI PAYMENT kasa,Travel
akasa INDIA,Travel
kasa INDIA,Travel
TRANSFER akasa,Travel
TRANSFER kasa,Travel
akasa,Travel
kasa,Travel
UPI/amazon/12345,Shopping
UPI/mazon/12345,Shopping
IMPS/amazon/98765,Shopping
IMPS/mazon/98765,Shopping
amazon LIMITED,Shopping
mazon LIMITED,Shopping
amazon PAYMENT,Shopping
mazon PAYMENT,Shopping
UPI PAYMENT amazon,Shopping
UPI PAYMENT mazon,Shopping
amazon INDIA,Shopping
mazon INDIA,Shopping
TRANSFER amazon,Shopping
TRANSFER mazon,Shopping
amazon,Shopping
mazon,Shopping
UPI/flipkart/12345,Shopping
UPI/flipkrt/12345,Shopping
IMPS/flipkart/98765,Shopping
IMPS/flipkrt/98765,Shopping
flipkart LIMITED,Shopping
flipkrt LIMITED,Shopping
flipkart PAYMENT,Shopping
flipkrt PAYMENT,Shopping
UPI PAYMENT flipkart,Shopping
UPI PAYMENT flipkrt,Shopping
flipkart INDIA,Shopping
flipkrt INDIA,Shopping
TRANSFER flipkart,Shopping
TRANSFER flipkrt,Shopping
flipkart,Shopping
flipkrt,Shopping
UPI/myntra/12345,Shopping
UPI/myntr/12345,Shopping
IMPS/myntra/98765,Shopping
IMPS/myntr/98765,Shopping
myntra LIMITED,Shopping
myntr LIMITED,Shopping
myntra PAYMENT,Shopping
myntr PAYMENT,Shopping
UPI PAYMENT myntra,Shopping
UPI PAYMENT myntr,Shopping
myntra INDIA,Shopping
myntr INDIA,Shopping
TRANSFER myntra,Shopping
TRANSFER myntr,Shopping
myntra,Shopping
myntr,Shopping
UPI/meesho/12345,Shopping
UPI/meesho/12345,Shopping
IMPS/meesho/98765,Shopping
IMPS/meesho/98765,Shopping
meesho LIMITED,Shopping
meesho LIMITED,Shopping
meesho PAYMENT,Shopping
meesho PAYMENT,Shopping
UPI PAYMENT meesho,Shopping
UPI PAYMENT meesho,Shopping
meesho INDIA,Shopping
meesho INDIA,Shopping
TRANSFER meesho,Shopping
TRANSFER meesho,Shopping
meesho,Shopping
meesho,Shopping
UPI/nykaa/12345,Shopping
UPI/nyka/12345,Shopping
IMPS/nykaa/98765,Shopping
IMPS/nyka/98765,Shopping
nykaa LIMITED,Shopping
nyka LIMITED,Shopping
nykaa PAYMENT,Shopping
nyka PAYMENT,Shopping
UPI PAYMENT nykaa,Shopping
UPI PAYMENT nyka,Shopping
nykaa INDIA,Shopping
nyka INDIA,Shopping
TRANSFER nykaa,Shopping
TRANSFER nyka,Shopping
nykaa,Shopping
nyka,Shopping
UPI/ajio/12345,Shopping
UPI/jio/12345,Shopping
IMPS/ajio/98765,Shopping
IMPS/jio/98765,Shopping
ajio LIMITED,Shopping
jio LIMITED,Shopping
ajio PAYMENT,Shopping
jio PAYMENT,Shopping
UPI PAYMENT ajio,Shopping
UPI PAYMENT jio,Shopping
ajio INDIA,Shopping
jio INDIA,Shopping
TRANSFER ajio,Shopping
TRANSFER jio,Shopping
ajio,Shopping
jio,Shopping
UPI/tata cliq/12345,Shopping
UPI/ttacliq/12345,Shopping
IMPS/tata cliq/98765,Shopping
IMPS/ttacliq/98765,Shopping
tata cliq LIMITED,Shopping
ttacliq LIMITED,Shopping
tata cliq PAYMENT,Shopping
ttacliq PAYMENT,Shopping
UPI PAYMENT tata cliq,Shopping
UPI PAYMENT ttacliq,Shopping
tata cliq INDIA,Shopping
ttacliq INDIA,Shopping
TRANSFER tata cliq,Shopping
TRANSFER ttacliq,Shopping
tata cliq,Shopping
ttacliq,Shopping
UPI/jiomart/12345,Shopping
UPI/jiomrt/12345,Shopping
IMPS/jiomart/98765,Shopping
IMPS/jiomrt/98765,Shopping
jiomart LIMITED,Shopping
jiomrt LIMITED,Shopping
jiomart PAYMENT,Shopping
jiomrt PAYMENT,Shopping
UPI PAYMENT jiomart,Shopping
UPI PAYMENT jiomrt,Shopping
jiomart INDIA,Shopping
jiomrt INDIA,Shopping
TRANSFER jiomart,Shopping
TRANSFER jiomrt,Shopping
jiomart,Shopping
jiomrt,Shopping
UPI/reliance smart/12345,Shopping
UPI/relincesmart/12345,Shopping
IMPS/reliance smart/98765,Shopping
IMPS/relincesmart/98765,Shopping
reliance smart LIMITED,Shopping
relincesmart LIMITED,Shopping
reliance smart PAYMENT,Shopping
relincesmart PAYMENT,Shopping
UPI PAYMENT reliance smart,Shopping
UPI PAYMENT relincesmart,Shopping
reliance smart INDIA,Shopping
relincesmart INDIA,Shopping
TRANSFER reliance smart,Shopping
TRANSFER relincesmart,Shopping
reliance smart,Shopping
relincesmart,Shopping
UPI/dmart/12345,Shopping
UPI/dmrt/12345,Shopping
IMPS/dmart/98765,Shopping
IMPS/dmrt/98765,Shopping
dmart LIMITED,Shopping
dmrt LIMITED,Shopping
dmart PAYMENT,Shopping
dmrt PAYMENT,Shopping
UPI PAYMENT dmart,Shopping
UPI PAYMENT dmrt,Shopping
dmart INDIA,Shopping
dmrt INDIA,Shopping
TRANSFER dmart,Shopping
TRANSFER dmrt,Shopping
dmart,Shopping
dmrt,Shopping
UPI/croma/12345,Shopping
UPI/crom/12345,Shopping
IMPS/croma/98765,Shopping
IMPS/crom/98765,Shopping
croma LIMITED,Shopping
crom LIMITED,Shopping
croma PAYMENT,Shopping
crom PAYMENT,Shopping
UPI PAYMENT croma,Shopping
UPI PAYMENT crom,Shopping
croma INDIA,Shopping
crom INDIA,Shopping
TRANSFER croma,Shopping
TRANSFER crom,Shopping
croma,Shopping
crom,Shopping
UPI/reliance digital/12345,Shopping
UPI/relincedigital/12345,Shopping
IMPS/reliance digital/98765,Shopping
IMPS/relincedigital/98765,Shopping
reliance digital LIMITED,Shopping
relincedigital LIMITED,Shopping
reliance digital PAYMENT,Shopping
relincedigital PAYMENT,Shopping
UPI PAYMENT reliance digital,Shopping
UPI PAYMENT relincedigital,Shopping
reliance digital INDIA,Shopping
relincedigital INDIA,Shopping
TRANSFER reliance digital,Shopping
TRANSFER relincedigital,Shopping
reliance digital,Shopping
relincedigital,Shopping
UPI/max fashion/12345,Shopping
UPI/mxfashion/12345,Shopping
IMPS/max fashion/98765,Shopping
IMPS/mxfashion/98765,Shopping
max fashion LIMITED,Shopping
mxfashion LIMITED,Shopping
max fashion PAYMENT,Shopping
mxfashion PAYMENT,Shopping
UPI PAYMENT max fashion,Shopping
UPI PAYMENT mxfashion,Shopping
max fashion INDIA,Shopping
mxfashion INDIA,Shopping
TRANSFER max fashion,Shopping
TRANSFER mxfashion,Shopping
max fashion,Shopping
mxfashion,Shopping
UPI/pantaloons/12345,Shopping
UPI/pntaloons/12345,Shopping
IMPS/pantaloons/98765,Shopping
IMPS/pntaloons/98765,Shopping
pantaloons LIMITED,Shopping
pntaloons LIMITED,Shopping
pantaloons PAYMENT,Shopping
pntaloons PAYMENT,Shopping
UPI PAYMENT pantaloons,Shopping
UPI PAYMENT pntaloons,Shopping
pantaloons INDIA,Shopping
pntaloons INDIA,Shopping
TRANSFER pantaloons,Shopping
TRANSFER pntaloons,Shopping
pantaloons,Shopping
pntaloons,Shopping
UPI/shoppers stop/12345,Shopping
UPI/shoppersstop/12345,Shopping
IMPS/shoppers stop/98765,Shopping
IMPS/shoppersstop/98765,Shopping
shoppers stop LIMITED,Shopping
shoppersstop LIMITED,Shopping
shoppers stop PAYMENT,Shopping
shoppersstop PAYMENT,Shopping
UPI PAYMENT shoppers stop,Shopping
UPI PAYMENT shoppersstop,Shopping
shoppers stop INDIA,Shopping
shoppersstop INDIA,Shopping
TRANSFER shoppers stop,Shopping
TRANSFER shoppersstop,Shopping
shoppers stop,Shopping
shoppersstop,Shopping
UPI/netflix/12345,Subscription
UPI/netflix/12345,Subscription
IMPS/netflix/98765,Subscription
IMPS/netflix/98765,Subscription
netflix LIMITED,Subscription
netflix LIMITED,Subscription
netflix PAYMENT,Subscription
netflix PAYMENT,Subscription
UPI PAYMENT netflix,Subscription
UPI PAYMENT netflix,Subscription
netflix INDIA,Subscription
netflix INDIA,Subscription
TRANSFER netflix,Subscription
TRANSFER netflix,Subscription
netflix,Subscription
netflix,Subscription
UPI/spotify/12345,Subscription
UPI/spotify/12345,Subscription
IMPS/spotify/98765,Subscription
IMPS/spotify/98765,Subscription
spotify LIMITED,Subscription
spotify LIMITED,Subscription
spotify PAYMENT,Subscription
spotify PAYMENT,Subscription
UPI PAYMENT spotify,Subscription
UPI PAYMENT spotify,Subscription
spotify INDIA,Subscription
spotify INDIA,Subscription
TRANSFER spotify,Subscription
TRANSFER spotify,Subscription
spotify,Subscription
spotify,Subscription
UPI/amazon prime/12345,Subscription
UPI/mazonprime/12345,Subscription
IMPS/amazon prime/98765,Subscription
IMPS/mazonprime/98765,Subscription
amazon prime LIMITED,Subscription
mazonprime LIMITED,Subscription
amazon prime PAYMENT,Subscription
mazonprime PAYMENT,Subscription
UPI PAYMENT amazon prime,Subscription
UPI PAYMENT mazonprime,Subscription
amazon prime INDIA,Subscription
mazonprime INDIA,Subscription
TRANSFER amazon prime,Subscription
TRANSFER mazonprime,Subscription
amazon prime,Subscription
mazonprime,Subscription
UPI/hotstar/12345,Subscription
UPI/hotstr/12345,Subscription
IMPS/hotstar/98765,Subscription
IMPS/hotstr/98765,Subscription
hotstar LIMITED,Subscription
hotstr LIMITED,Subscription
hotstar PAYMENT,Subscription
hotstr PAYMENT,Subscription
UPI PAYMENT hotstar,Subscription
UPI PAYMENT hotstr,Subscription
hotstar INDIA,Subscription
hotstr INDIA,Subscription
TRANSFER hotstar,Subscription
TRANSFER hotstr,Subscription
hotstar,Subscription
hotstr,Subscription
UPI/hoichoi/12345,Subscription
UPI/hoichoi/12345,Subscription
IMPS/hoichoi/98765,Subscription
IMPS/hoichoi/98765,Subscription
hoichoi LIMITED,Subscription
hoichoi LIMITED,Subscription
hoichoi PAYMENT,Subscription
hoichoi PAYMENT,Subscription
UPI PAYMENT hoichoi,Subscription
UPI PAYMENT hoichoi,Subscription
hoichoi INDIA,Subscription
hoichoi INDIA,Subscription
TRANSFER hoichoi,Subscription
TRANSFER hoichoi,Subscription
hoichoi,Subscription
hoichoi,Subscription
UPI/sonyliv/12345,Subscription
UPI/sonyliv/12345,Subscription
IMPS/sonyliv/98765,Subscription
IMPS/sonyliv/98765,Subscription
sonyliv LIMITED,Subscription
sonyliv LIMITED,Subscription
sonyliv PAYMENT,Subscription
sonyliv PAYMENT,Subscription
UPI PAYMENT sonyliv,Subscription
UPI PAYMENT sonyliv,Subscription
sonyliv INDIA,Subscription
sonyliv INDIA,Subscription
TRANSFER sonyliv,Subscription
TRANSFER sonyliv,Subscription
sonyliv,Subscription
sonyliv,Subscription
UPI/zee5/12345,Subscription
UPI/zee5/12345,Subscription
IMPS/zee5/98765,Subscription
IMPS/zee5/98765,Subscription
zee5 LIMITED,Subscription
zee5 LIMITED,Subscription
zee5 PAYMENT,Subscription
zee5 PAYMENT,Subscription
UPI PAYMENT zee5,Subscription
UPI PAYMENT zee5,Subscription
zee5 INDIA,Subscription
zee5 INDIA,Subscription
TRANSFER zee5,Subscription
TRANSFER zee5,Subscription
zee5,Subscription
zee5,Subscription
UPI/jiocinema/12345,Subscription
UPI/jiocinem/12345,Subscription
IMPS/jiocinema/98765,Subscription
IMPS/jiocinem/98765,Subscription
jiocinema LIMITED,Subscription
jiocinem LIMITED,Subscription
jiocinema PAYMENT,Subscription
jiocinem PAYMENT,Subscription
UPI PAYMENT jiocinema,Subscription
UPI PAYMENT jiocinem,Subscription
jiocinema INDIA,Subscription
jiocinem INDIA,Subscription
TRANSFER jiocinema,Subscription
TRANSFER jiocinem,Subscription
jiocinema,Subscription
jiocinem,Subscription
UPI/youtube premium/12345,Subscription
UPI/youtubepremium/12345,Subscription
IMPS/youtube premium/98765,Subscription
IMPS/youtubepremium/98765,Subscription
youtube premium LIMITED,Subscription
youtubepremium LIMITED,Subscription
youtube premium PAYMENT,Subscription
youtubepremium PAYMENT,Subscription
UPI PAYMENT youtube premium,Subscription
UPI PAYMENT youtubepremium,Subscription
youtube premium INDIA,Subscription
youtubepremium INDIA,Subscription
TRANSFER youtube premium,Subscription
TRANSFER youtubepremium,Subscription
youtube premium,Subscription
youtubepremium,Subscription
UPI/apple/12345,Subscription
UPI/pple/12345,Subscription
IMPS/apple/98765,Subscription
IMPS/pple/98765,Subscription
apple LIMITED,Subscription
pple LIMITED,Subscription
apple PAYMENT,Subscription
pple PAYMENT,Subscription
UPI PAYMENT apple,Subscription
UPI PAYMENT pple,Subscription
apple INDIA,Subscription
pple INDIA,Subscription
TRANSFER apple,Subscription
TRANSFER pple,Subscription
apple,Subscription
pple,Subscription
UPI/wynk/12345,Subscription
UPI/wynk/12345,Subscription
IMPS/wynk/98765,Subscription
IMPS/wynk/98765,Subscription
wynk LIMITED,Subscription
wynk LIMITED,Subscription
wynk PAYMENT,Subscription
wynk PAYMENT,Subscription
UPI PAYMENT wynk,Subscription
UPI PAYMENT wynk,Subscription
wynk INDIA,Subscription
wynk INDIA,Subscription
TRANSFER wynk,Subscription
TRANSFER wynk,Subscription
wynk,Subscription
wynk,Subscription
UPI/kindle/12345,Subscription
UPI/kindle/12345,Subscription
IMPS/kindle/98765,Subscription
IMPS/kindle/98765,Subscription
kindle LIMITED,Subscription
kindle LIMITED,Subscription
kindle PAYMENT,Subscription
kindle PAYMENT,Subscription
UPI PAYMENT kindle,Subscription
UPI PAYMENT kindle,Subscription
kindle INDIA,Subscription
kindle INDIA,Subscription
TRANSFER kindle,Subscription
TRANSFER kindle,Subscription
kindle,Subscription
kindle,Subscription
UPI/salary credit/12345,Income
UPI/slarycredit/12345,Income
IMPS/salary credit/98765,Income
IMPS/slarycredit/98765,Income
salary credit LIMITED,Income
slarycredit LIMITED,Income
salary credit PAYMENT,Income
slarycredit PAYMENT,Income
UPI PAYMENT salary credit,Income
UPI PAYMENT slarycredit,Income
salary credit INDIA,Income
slarycredit INDIA,Income
TRANSFER salary credit,Income
TRANSFER slarycredit,Income
salary credit,Income
slarycredit,Income
UPI/interest credit/12345,Income
UPI/interestcredit/12345,Income
IMPS/interest credit/98765,Income
IMPS/interestcredit/98765,Income
interest credit LIMITED,Income
interestcredit LIMITED,Income
interest credit PAYMENT,Income
interestcredit PAYMENT,Income
UPI PAYMENT interest credit,Income
UPI PAYMENT interestcredit,Income
interest credit INDIA,Income
interestcredit INDIA,Income
TRANSFER interest credit,Income
TRANSFER interestcredit,Income
interest credit,Income
interestcredit,Income
UPI/salary/12345,Income
UPI/slary/12345,Income
IMPS/salary/98765,Income
IMPS/slary/98765,Income
salary LIMITED,Income
slary LIMITED,Income
salary PAYMENT,Income
slary PAYMENT,Income
UPI PAYMENT salary,Income
UPI PAYMENT slary,Income
salary INDIA,Income
slary INDIA,Income
TRANSFER salary,Income
