text,category,clean_text
makemytrip LIMITED,Travel,makemytrip
mkemytrip LIMITED,Travel,mkemytrip
makemytrip PAYMENT,Travel,makemytrip
mkemytrip PAYMENT,Travel,mkemytrip
UPI PAYMENT makemytrip,Travel,makemytrip
UPI PAYMENT mkemytrip,Travel,mkemytrip
makemytrip INDIA,Travel,makemytrip
mkemytrip INDIA,Travel,mkemytrip
TRANSFER makemytrip,Travel,makemytrip
TRANSFER mkemytrip,Travel,mkemytrip
makemytrip,Travel,makemytrip
mkemytrip,Travel,mkemytrip
UPI/goibibo/12345,Travel,goibibo
UPI/goibibo/12345,Travel,goibibo
IMPS/goibibo/98765,Travel,goibibo
IMPS/goibibo/98765,Travel,goibibo
goibibo LIMITED,Travel,goibibo
goibibo LIMITED,Travel,goibibo
goibibo PAYMENT,Travel,goibibo
goibibo PAYMENT,Travel,goibibo
UPI PAYMENT goibibo,Travel,goibibo
UPI PAYMENT goibibo,Travel,goibibo
goibibo INDIA,Travel,goibibo
goibibo INDIA,Travel,goibibo
TRANSFER goibibo,Travel,goibibo
TRANSFER goibibo,Travel,goibibo
goibibo,Travel,goibibo
goibibo,Travel,goibibo
UPI/easemytrip/12345,Travel,easemytrip
UPI/esemytrip/12345,Travel,esemytrip
IMPS/easemytrip/98765,Travel,easemytrip
IMPS/esemytrip/98765,Travel,esemytrip
easemytrip LIMITED,Travel,easemytrip
esemytrip LIMITED,Travel,esemytrip
easemytrip PAYMENT,Travel,easemytrip
esemytrip PAYMENT,Travel,esemytrip
UPI PAYMENT easemytrip,Travel,easemytrip
UPI PAYMENT esemytrip,Travel,esemytrip
easemytrip INDIA,Travel,easemytrip
esemytrip INDIA,Travel,esemytrip
TRANSFER easemytrip,Travel,easemytrip
TRANSFER esemytrip,Travel,esemytrip
easemytrip,Travel,easemytrip
esemytrip,Travel,esemytrip
UPI/redbus/12345,Travel,redbus
UPI/redbus/12345,Travel,redbus
IMPS/redbus/98765,Travel,redbus
IMPS/redbus/98765,Travel,redbus
redbus LIMITED,Travel,redbus
redbus LIMITED,Travel,redbus
redbus PAYMENT,Travel,redbus
redbus PAYMENT,Travel,redbus
UPI PAYMENT redbus,Travel,redbus
UPI PAYMENT redbus,Travel,redbus
redbus INDIA,Travel,redbus
redbus INDIA,Travel,redbus
TRANSFER redbus,Travel,redbus
TRANSFER redbus,Travel,redbus
redbus,Travel,redbus
redbus,Travel,redbus
UPI/ixigo/12345,Travel,ixigo
UPI/ixigo/12345,Travel,ixigo
IMPS/ixigo/98765,Travel,ixigo
IMPS/ixigo/98765,Travel,ixigo
ixigo LIMITED,Travel,ixigo
ixigo LIMITED,Travel,ixigo
ixigo PAYMENT,Travel,ixigo
ixigo PAYMENT,Travel,ixigo
UPI PAYMENT ixigo,Travel,ixigo
UPI PAYMENT ixigo,Travel,ixigo
ixigo INDIA,Travel,ixigo
ixigo INDIA,Travel,ixigo
TRANSFER ixigo,Travel,ixigo
TRANSFER ixigo,Travel,ixigo
ixigo,Travel,ixigo
ixigo,Travel,ixigo
UPI/indigo/12345,Travel,indigo
UPI/indigo/12345,Travel,indigo
IMPS/indigo/98765,Travel,indigo
IMPS/indigo/98765,Travel,indigo
indigo LIMITED,Travel,indigo
indigo LIMITED,Travel,indigo
indigo PAYMENT,Travel,indigo
indigo PAYMENT,Travel,indigo
UPI PAYMENT indigo,Travel,indigo
UPI PAYMENT indigo,Travel,indigo
indigo INDIA,Travel,indigo
indigo INDIA,Travel,indigo
TRANSFER indigo,Travel,indigo
TRANSFER indigo,Travel,indigo
indigo,Travel,indigo
indigo,Travel,indigo
UPI/spicejet/12345,Travel,spicejet
UPI/spicejet/12345,Travel,spicejet
IMPS/spicejet/98765,Travel,spicejet
IMPS/spicejet/98765,Travel,spicejet
spicejet LIMITED,Travel,spicejet
spicejet LIMITED,Travel,spicejet
spicejet PAYMENT,Travel,spicejet
spicejet PAYMENT,Travel,spicejet
UPI PAYMENT spicejet,Travel,spicejet
UPI PAYMENT spicejet,Travel,spicejet
spicejet INDIA,Travel,spicejet
spicejet INDIA,Travel,spicejet
TRANSFER spicejet,Travel,spicejet
TRANSFER spicejet,Travel,spicejet
spicejet,Travel,spicejet
spicejet,Travel,spicejet
UPI/akasa/12345,Travel,akasa
UPI/kasa/12345,Travel,kasa
IMPS/akasa/98765,Travel,akasa
IMPS/kasa/98765,Travel,kasa
akasa LIMITED,Travel,akasa
kasa LIMITED,Travel,kasa
akasa PAYMENT,Travel,akasa
kasa PAYMENT,Travel,kasa
UPI PAYMENT akasa,Travel,akasa
UPI PAYMENT kasa,Travel,kasa
akasa INDIA,Travel,akasa
kasa INDIA,Travel,kasa
TRANSFER akasa,Travel,akasa
TRANSFER kasa,Travel,kasa
akasa,Travel,akasa
kasa,Travel,kasa
UPI/amazon/12345,Shopping,amazon
UPI/mazon/12345,Shopping,mazon
IMPS/amazon/98765,Shopping,amazon
IMPS/mazon/98765,Shopping,mazon
amazon LIMITED,Shopping,amazon
mazon LIMITED,Shopping,mazon
amazon PAYMENT,Shopping,amazon
mazon PAYMENT,Shopping,mazon
UPI PAYMENT amazon,Shopping,amazon
UPI PAYMENT mazon,Shopping,mazon
amazon INDIA,Shopping,amazon
mazon INDIA,Shopping,mazon
TRANSFER amazon,Shopping,amazon
TRANSFER mazon,Shopping,mazon
amazon,Shopping,amazon
mazon,Shopping,mazon
UPI/flipkart/12345,Shopping,flipkart
UPI/flipkrt/12345,Shopping,flipkrt
IMPS/flipkart/98765,Shopping,flipkart
IMPS/flipkrt/98765,Shopping,flipkrt
flipkart LIMITED,Shopping,flipkart
flipkrt LIMITED,Shopping,flipkrt
flipkart PAYMENT,Shopping,flipkart
flipkrt PAYMENT,Shopping,flipkrt
UPI PAYMENT flipkart,Shopping,flipkart
UPI PAYMENT flipkrt,Shopping,flipkrt
flipkart INDIA,Shopping,flipkart
flipkrt INDIA,Shopping,flipkrt
TRANSFER flipkart,Shopping,flipkart
TRANSFER flipkrt,Shopping,flipkrt
flipkart,Shopping,flipkart
flipkrt,Shopping,flipkrt
UPI/myntra/12345,Shopping,myntra
UPI/myntr/12345,Shopping,myntr
IMPS/myntra/98765,Shopping,myntra
IMPS/myntr/98765,Shopping,myntr
myntra LIMITED,Shopping,myntra
myntr LIMITED,Shopping,myntr
myntra PAYMENT,Shopping,myntra
myntr PAYMENT,Shopping,myntr
UPI PAYMENT myntra,Shopping,myntra
UPI PAYMENT myntr,Shopping,myntr
myntra INDIA,Shopping,myntra
myntr INDIA,Shopping,myntr
TRANSFER myntra,Shopping,myntra
TRANSFER myntr,Shopping,myntr
myntra,Shopping,myntra
myntr,Shopping,myntr
UPI/meesho/12345,Shopping,meesho
UPI/meesho/12345,Shopping,meesho
IMPS/meesho/98765,Shopping,meesho
IMPS/meesho/98765,Shopping,meesho
meesho LIMITED,Shopping,meesho
meesho LIMITED,Shopping,meesho
meesho PAYMENT,Shopping,meesho
meesho PAYMENT,Shopping,meesho
UPI PAYMENT meesho,Shopping,meesho
UPI PAYMENT meesho,Shopping,meesho
meesho INDIA,Shopping,meesho
meesho INDIA,Shopping,meesho
TRANSFER meesho,Shopping,meesho
TRANSFER meesho,Shopping,meesho
meesho,Shopping,meesho
meesho,Shopping,meesho
UPI/nykaa/12345,Shopping,nykaa
UPI/nyka/12345,Shopping,nyka
IMPS/nykaa/98765,Shopping,nykaa
IMPS/nyka/98765,Shopping,nyka
nykaa LIMITED,Shopping,nykaa
nyka LIMITED,Shopping,nyka
nykaa PAYMENT,Shopping,nykaa
nyka PAYMENT,Shopping,nyka
UPI PAYMENT nykaa,Shopping,nykaa
UPI PAYMENT nyka,Shopping,nyka
nykaa INDIA,Shopping,nykaa
nyka INDIA,Shopping,nyka
TRANSFER nykaa,Shopping,nykaa
TRANSFER nyka,Shopping,nyka
nykaa,Shopping,nykaa
nyka,Shopping,nyka
UPI/ajio/12345,Shopping,ajio
UPI/jio/12345,Shopping,jio
IMPS/ajio/98765,Shopping,ajio
IMPS/jio/98765,Shopping,jio
ajio LIMITED,Shopping,ajio
jio LIMITED,Shopping,jio
ajio PAYMENT,Shopping,ajio
jio PAYMENT,Shopping,jio
UPI PAYMENT ajio,Shopping,ajio
UPI PAYMENT jio,Shopping,jio
ajio INDIA,Shopping,ajio
jio INDIA,Shopping,jio
TRANSFER ajio,Shopping,ajio
TRANSFER jio,Shopping,jio
ajio,Shopping,ajio
jio,Shopping,jio
UPI/tata cliq/12345,Shopping,tata cliq
UPI/ttacliq/12345,Shopping,ttacliq
IMPS/tata cliq/98765,Shopping,tata cliq
IMPS/ttacliq/98765,Shopping,ttacliq
tata cliq LIMITED,Shopping,tata cliq
ttacliq LIMITED,Shopping,ttacliq
tata cliq PAYMENT,Shopping,tata cliq
ttacliq PAYMENT,Shopping,ttacliq
UPI PAYMENT tata cliq,Shopping,tata cliq
UPI PAYMENT ttacliq,Shopping,ttacliq
tata cliq INDIA,Shopping,tata cliq
ttacliq INDIA,Shopping,ttacliq
TRANSFER tata cliq,Shopping,tata cliq
TRANSFER ttacliq,Shopping,ttacliq
tata cliq,Shopping,tata cliq
ttacliq,Shopping,ttacliq
UPI/jiomart/12345,Shopping,jiomart
UPI/jiomrt/12345,Shopping,jiomrt
IMPS/jiomart/98765,Shopping,jiomart
IMPS/jiomrt/98765,Shopping,jiomrt
jiomart LIMITED,Shopping,jiomart
jiomrt LIMITED,Shopping,jiomrt
jiomart PAYMENT,Shopping,jiomart
jiomrt PAYMENT,Shopping,jiomrt
UPI PAYMENT jiomart,Shopping,jiomart
UPI PAYMENT jiomrt,Shopping,jiomrt
jiomart INDIA,Shopping,jiomart
jiomrt INDIA,Shopping,jiomrt
TRANSFER jiomart,Shopping,jiomart
TRANSFER jiomrt,Shopping,jiomrt
jiomart,Shopping,jiomart
jiomrt,Shopping,jiomrt
UPI/reliance smart/12345,Shopping,reliance smart
UPI/relincesmart/12345,Shopping,relincesmart
IMPS/reliance smart/98765,Shopping,reliance smart
IMPS/relincesmart/98765,Shopping,relincesmart
reliance smart LIMITED,Shopping,reliance smart
relincesmart LIMITED,Shopping,relincesmart
reliance smart PAYMENT,Shopping,reliance smart
relincesmart PAYMENT,Shopping,relincesmart
UPI PAYMENT reliance smart,Shopping,reliance smart
UPI PAYMENT relincesmart,Shopping,relincesmart
reliance smart INDIA,Shopping,reliance smart
relincesmart INDIA,Shopping,relincesmart
TRANSFER reliance smart,Shopping,reliance smart
TRANSFER relincesmart,Shopping,relincesmart
reliance smart,Shopping,reliance smart
relincesmart,Shopping,relincesmart
UPI/dmart/12345,Shopping,dmart
UPI/dmrt/12345,Shopping,dmrt
IMPS/dmart/98765,Shopping,dmart
IMPS/dmrt/98765,Shopping,dmrt
dmart LIMITED,Shopping,dmart
dmrt LIMITED,Shopping,dmrt
dmart PAYMENT,Shopping,dmart
dmrt PAYMENT,Shopping,dmrt
UPI PAYMENT dmart,Shopping,dmart
UPI PAYMENT dmrt,Shopping,dmrt
dmart INDIA,Shopping,dmart
dmrt INDIA,Shopping,dmrt
TRANSFER dmart,Shopping,dmart
TRANSFER dmrt,Shopping,dmrt
dmart,Shopping,dmart
dmrt,Shopping,dmrt
UPI/croma/12345,Shopping,croma
UPI/crom/12345,Shopping,crom
IMPS/croma/98765,Shopping,croma
IMPS/crom/98765,Shopping,crom
croma LIMITED,Shopping,croma
crom LIMITED,Shopping,crom
croma PAYMENT,Shopping,croma
crom PAYMENT,Shopping,crom
UPI PAYMENT croma,Shopping,croma
UPI PAYMENT crom,Shopping,crom
croma INDIA,Shopping,croma
crom INDIA,Shopping,crom
TRANSFER croma,Shopping,croma
TRANSFER crom,Shopping,crom
croma,Shopping,croma
crom,Shopping,crom
UPI/reliance digital/12345,Shopping,reliance digital
UPI/relincedigital/12345,Shopping,relincedigital
IMPS/reliance digital/98765,Shopping,reliance digital
IMPS/relincedigital/98765,Shopping,relincedigital
reliance digital LIMITED,Shopping,reliance digital
relincedigital LIMITED,Shopping,relincedigital
reliance digital PAYMENT,Shopping,reliance digital
relincedigital PAYMENT,Shopping,relincedigital
UPI PAYMENT reliance digital,Shopping,reliance digital
UPI PAYMENT relincedigital,Shopping,relincedigital
reliance digital INDIA,Shopping,reliance digital
relincedigital INDIA,Shopping,relincedigital
TRANSFER reliance digital,Shopping,reliance digital
TRANSFER relincedigital,Shopping,relincedigital
reliance digital,Shopping,reliance digital
relincedigital,Shopping,relincedigital
UPI/max fashion/12345,Shopping,max fashion
UPI/mxfashion/12345,Shopping,mxfashion
IMPS/max fashion/98765,Shopping,max fashion
IMPS/mxfashion/98765,Shopping,mxfashion
max fashion LIMITED,Shopping,max fashion
mxfashion LIMITED,Shopping,mxfashion
max fashion PAYMENT,Shopping,max fashion
mxfashion PAYMENT,Shopping,mxfashion
UPI PAYMENT max fashion,Shopping,max fashion
UPI PAYMENT mxfashion,Shopping,mxfashion
max fashion INDIA,Shopping,max fashion
mxfashion INDIA,Shopping,mxfashion
TRANSFER max fashion,Shopping,max fashion
TRANSFER mxfashion,Shopping,mxfashion
max fashion,Shopping,max fashion
mxfashion,Shopping,mxfashion
UPI/pantaloons/12345,Shopping,pantaloons
UPI/pntaloons/12345,Shopping,pntaloons
IMPS/pantaloons/98765,Shopping,pantaloons
IMPS/pntaloons/98765,Shopping,pntaloons
pantaloons LIMITED,Shopping,pantaloons
pntaloons LIMITED,Shopping,pntaloons
pantaloons PAYMENT,Shopping,pantaloons
pntaloons PAYMENT,Shopping,pntaloons
UPI PAYMENT pantaloons,Shopping,pantaloons
UPI PAYMENT pntaloons,Shopping,pntaloons
pantaloons INDIA,Shopping,pantaloons
pntaloons INDIA,Shopping,pntaloons
TRANSFER pantaloons,Shopping,pantaloons
TRANSFER pntaloons,Shopping,pntaloons
pantaloons,Shopping,pantaloons
pntaloons,Shopping,pntaloons
UPI/shoppers stop/12345,Shopping,shoppers stop
UPI/shoppersstop/12345,Shopping,shoppersstop
IMPS/shoppers stop/98765,Shopping,shoppers stop
IMPS/shoppersstop/98765,Shopping,shoppersstop
shoppers stop LIMITED,Shopping,shoppers stop
shoppersstop LIMITED,Shopping,shoppersstop
shoppers stop PAYMENT,Shopping,shoppers stop
shoppersstop PAYMENT,Shopping,shoppersstop
UPI PAYMENT shoppers stop,Shopping,shoppers stop
UPI PAYMENT shoppersstop,Shopping,shoppersstop
shoppers stop INDIA,Shopping,shoppers stop
shoppersstop INDIA,Shopping,shoppersstop
TRANSFER shoppers stop,Shopping,shoppers stop
TRANSFER shoppersstop,Shopping,shoppersstop
shoppers stop,Shopping,shoppers stop
shoppersstop,Shopping,shoppersstop
UPI/netflix/12345,Subscription,netflix
UPI/netflix/12345,Subscription,netflix
IMPS/netflix/98765,Subscription,netflix
IMPS/netflix/98765,Subscription,netflix
netflix LIMITED,Subscription,netflix
netflix LIMITED,Subscription,netflix
netflix PAYMENT,Subscription,netflix
